Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,3493958,-,-,-,22.45,88.3,5,6,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Wind Direction,Pressure,Solar Zenith Angle,DNI,GHI,DHI,Relative Humidity,Dew Point
2017,1,1,0,0,15.3,1.2000000000000002,323,1012,168.47,0,0,0,89.75,13.600000000000001
2017,1,1,0,15,15,1.2000000000000002,324,1012,165.02,0,0,0,91.49,13.600000000000001
2017,1,1,0,30,14.700000000000001,1.2000000000000002,325,1012,161.57,0,0,0,93.27,13.600000000000001
2017,1,1,0,45,14.4,1.3,326,1012,158.12,0,0,0,92.11,13.100000000000001
2017,1,1,1,0,14.200000000000001,1.3,326,1012,154.68,0,0,0,93.31,13.100000000000001
2017,1,1,1,15,13.9,1.3,327,1012,151.24,0,0,0,95.14,13.100000000000001
2017,1,1,1,30,13.700000000000001,1.3,328,1012,147.81,0,0,0,96.38,13.100000000000001
2017,1,1,1,45,13.5,1.3,328,1011,144.38,0,0,0,94.38,12.600000000000001
2017,1,1,2,0,13.3,1.3,329,1011,140.96,0,0,0,95.62,12.600000000000001
2017,1,1,2,15,13.100000000000001,1.3,330,1011,137.54,0,0,0,96.87,12.600000000000001
2017,1,1,2,30,13,1.3,331,1011,134.14000000000001,0,0,0,97.5,12.600000000000001
2017,1,1,2,45,12.8,1.3,332,1011,130.74,0,0,0,95.56,12.100000000000001
2017,1,1,3,0,12.600000000000001,1.3,333,1011,127.35000000000001,0,0,0,96.82000000000001,12.100000000000001
2017,1,1,3,15,12.5,1.3,334,1011,123.97,0,0,0,97.46000000000001,12.100000000000001
2017,1,1,3,30,12.3,1.4000000000000001,335,1012,120.61,0,0,0,98.84,12.100000000000001
2017,1,1,3,45,12.200000000000001,1.4000000000000001,336,1012,117.26,0,0,0,96.55,11.700000000000001
2017,1,1,4,0,12,1.4000000000000001,337,1012,113.93,0,0,0,97.83,11.700000000000001
2017,1,1,4,15,12,1.4000000000000001,337,1012,110.61,0,0,0,97.83,11.700000000000001
2017,1,1,4,30,12,1.4000000000000001,337,1012,107.31,0,0,0,97.83,11.700000000000001
2017,1,1,4,45,12,1.4000000000000001,337,1012,104.03,0,0,0,97.83,11.700000000000001
2017,1,1,5,0,15,0.9,2,1016,100.79,0,0,0,88.48,13.100000000000001
2017,1,1,5,15,15.100000000000001,0.9,92,1016,97.56,0,0,0,87.91,13.100000000000001
2017,1,1,5,30,15.200000000000001,0.9,181,1016,94.36,0,0,0,87.35000000000001,13.100000000000001
2017,1,1,5,45,15.4,0.8,270,1017,91.19,0,0,0,91.05,13.9
2017,1,1,6,0,15.5,0.8,360,1017,87.77,10,7,6,90.47,13.9
2017,1,1,6,15,16,0.9,359,1017,84.8,38,26,23,87.63,13.9
2017,1,1,6,30,16.5,1.1,359,1017,81.8,76,60,49,84.89,13.9
2017,1,1,6,45,17.1,1.2000000000000002,359,1017,78.82000000000001,121,103,79,82.78,14.100000000000001
2017,1,1,7,0,17.6,1.4000000000000001,358,1018,75.89,163,148,109,80.29,14.200000000000001
2017,1,1,7,15,18.1,1.3,357,1018,73.01,202,195,136,77.81,14.200000000000001
2017,1,1,7,30,18.6,1.3,357,1018,70.2,239,242,161,75.42,14.200000000000001
2017,1,1,7,45,19.1,1.3,356,1018,67.47,269,287,185,77.02,15
2017,1,1,8,0,19.6,1.2000000000000002,355,1018,64.83,299,332,205,74.67,15
2017,1,1,8,15,20.5,1.1,353,1018,62.28,328,377,224,70.64,15
2017,1,1,8,30,21.400000000000002,1,350,1018,59.85,353,418,241,66.85,15
2017,1,1,8,45,22.200000000000003,0.9,348,1018,57.54,384,458,252,64.98,15.3
2017,1,1,9,0,23.1,0.8,345,1018,55.38,403,494,265,61.54,15.3
2017,1,1,9,15,23.6,0.8,341,1018,53.38,420,526,276,59.72,15.3
2017,1,1,9,30,24,0.9,337,1017,51.56,435,555,285,58.25,15.3
2017,1,1,9,45,24.5,1,332,1017,49.93,451,582,291,55.7,15.100000000000001
2017,1,1,10,0,25,1,328,1017,48.53,461,603,298,54.07,15.100000000000001
2017,1,1,10,15,25.1,1.1,327,1017,47.37,469,621,303,53.75,15.100000000000001
2017,1,1,10,30,25.3,1.2000000000000002,326,1016,46.46,476,634,307,53.06,15.100000000000001
2017,1,1,10,45,25.5,1.3,325,1016,45.83,432,632,331,52.53,15.100000000000001
2017,1,1,11,0,25.6,1.4000000000000001,323,1016,45.480000000000004,434,637,333,52.22,15.100000000000001
2017,1,1,11,15,25.700000000000003,1.5,323,1015,45.43,435,638,333,51.870000000000005,15.100000000000001
2017,1,1,11,30,25.8,1.5,323,1015,45.660000000000004,433,635,332,51.56,15.100000000000001
2017,1,1,11,45,25.8,1.6,323,1015,46.19,434,628,328,51.7,15.100000000000001
2017,1,1,12,0,25.900000000000002,1.7000000000000002,323,1014,46.99,429,616,324,51.34,15.100000000000001
2017,1,1,12,15,25.900000000000002,1.7000000000000002,323,1014,48.050000000000004,421,600,319,51.34,15.100000000000001
2017,1,1,12,30,25.900000000000002,1.7000000000000002,324,1014,49.36,295,490,298,51.34,15.100000000000001
2017,1,1,12,45,25.8,1.8,324,1014,50.9,274,463,290,51.84,15.200000000000001
2017,1,1,13,0,25.8,1.8,325,1014,52.65,391,530,293,51.84,15.200000000000001
2017,1,1,13,15,25.700000000000003,1.8,326,1014,54.58,227,398,266,52.15,15.200000000000001
2017,1,1,13,30,25.5,1.8,327,1013,56.69,357,465,268,52.72,15.100000000000001
2017,1,1,13,45,25.3,1.7000000000000002,327,1013,58.94,339,428,253,54.33,15.4
2017,1,1,14,0,25.200000000000003,1.7000000000000002,328,1013,61.33,316,388,236,54.65,15.4
2017,1,1,14,15,24.700000000000003,1.5,329,1013,63.83,290,345,217,56.300000000000004,15.4
2017,1,1,14,30,24.3,1.3,331,1013,66.44,262,301,196,57.660000000000004,15.4
2017,1,1,14,45,23.8,1.1,332,1013,69.14,47,159,142,70.01,18
2017,1,1,15,0,23.400000000000002,0.9,333,1013,71.92,203,210,147,71.71000000000001,18
2017,1,1,15,15,22.8,1,336,1013,74.77,167,163,119,74.35000000000001,18
2017,1,1,15,30,22.200000000000003,1,338,1013,77.68,128,117,90,77.10000000000001,18
2017,1,1,15,45,21.700000000000003,1,341,1014,80.64,93,76,61,71.51,16.3
2017,1,1,16,0,21.1,1,343,1014,83.64,53,38,32,74.18,16.3
2017,1,1,16,15,20.900000000000002,1,345,1014,86.64,19,12,11,75.09,16.3
2017,1,1,16,30,20.700000000000003,1,347,1014,89.51,0,0,0,76.02,16.3
2017,1,1,16,45,20.6,1,349,1014,93.13,0,0,0,72.01,15.4
2017,1,1,17,0,20.400000000000002,1,352,1014,96.32000000000001,0,0,0,72.9,15.4
2017,1,1,17,15,20.3,1,353,1014,99.54,0,0,0,73.35000000000001,15.4
2017,1,1,17,30,20.200000000000003,1,355,1015,102.79,0,0,0,73.87,15.4
2017,1,1,17,45,20.1,1,357,1015,106.06,0,0,0,71.87,14.9
2017,1,1,18,0,20,1,358,1015,109.35000000000001,0,0,0,72.32000000000001,14.9
2017,1,1,18,15,19.900000000000002,0.9,269,1015,112.66,0,0,0,72.76,14.9
2017,1,1,18,30,19.8,0.9,180,1015,115.99000000000001,0,0,0,73.22,14.9
2017,1,1,18,45,19.700000000000003,0.9,91,1015,119.34,0,0,0,71.13,14.3
2017,1,1,19,0,19.6,0.9,2,1015,122.7,0,0,0,71.57000000000001,14.3
2017,1,1,19,15,19.5,0.9,3,1015,126.07000000000001,0,0,0,72.01,14.3
2017,1,1,19,30,19.400000000000002,0.9,3,1015,129.45,0,0,0,72.46000000000001,14.3
2017,1,1,19,45,19.400000000000002,0.9,4,1015,132.85,0,0,0,70.79,14
2017,1,1,20,0,19.3,0.9,5,1015,136.25,0,0,0,71.23,14
2017,1,1,20,15,19.200000000000003,0.8,5,1015,139.67000000000002,0,0,0,71.68,14
2017,1,1,20,30,19.1,0.8,6,1015,143.09,0,0,0,72.12,14
2017,1,1,20,45,19,0.8,6,1015,146.51,0,0,0,71.72,13.8
2017,1,1,21,0,18.8,0.8,7,1015,149.95000000000002,0,0,0,72.61,13.8
2017,1,1,21,15,18.7,0.8,7,1015,153.39000000000001,0,0,0,73.07000000000001,13.8
2017,1,1,21,30,18.6,0.8,7,1015,156.83,0,0,0,73.52,13.8
2017,1,1,21,45,18.5,0.8,6,1015,160.28,0,0,0,73.43,13.700000000000001
2017,1,1,22,0,18.400000000000002,0.8,6,1015,163.73,0,0,0,73.89,13.700000000000001
2017,1,1,22,15,18.3,0.8,5,1015,167.18,0,0,0,74.35000000000001,13.700000000000001
2017,1,1,22,30,18.1,0.8,4,1015,170.63,0,0,0,75.29,13.700000000000001
2017,1,1,22,45,18,0.8,3,1015,174.08,0,0,0,75.51,13.600000000000001
2017,1,1,23,0,17.8,0.8,1,1015,177.51,0,0,0,76.46000000000001,13.600000000000001
2017,1,1,23,15,17.7,0.8,90,1015,178.88,0,0,0,76.94,13.600000000000001
2017,1,1,23,30,17.5,0.8,178,1015,175.5,0,0,0,77.91,13.600000000000001
2017,1,1,23,45,17.3,0.8,267,1015,172.05,0,0,0,78.8,13.600000000000001
2017,1,2,0,0,17.2,0.8,355,1015,168.6,0,0,0,79.3,13.600000000000001
2017,1,2,0,15,17,0.8,354,1015,165.15,0,0,0,80.3,13.600000000000001
2017,1,2,0,30,16.8,0.8,352,1015,161.70000000000002,0,0,0,81.32000000000001,13.600000000000001
2017,1,2,0,45,16.6,0.8,351,1015,158.25,0,0,0,82.34,13.600000000000001
2017,1,2,1,0,16.5,0.9,350,1015,154.81,0,0,0,82.87,13.600000000000001
2017,1,2,1,15,16.3,0.9,349,1014,151.37,0,0,0,83.84,13.600000000000001
2017,1,2,1,30,16.2,0.9,348,1014,147.93,0,0,0,84.38,13.600000000000001
2017,1,2,1,45,16.1,0.9,347,1014,144.5,0,0,0,84.93,13.600000000000001
2017,1,2,2,0,15.9,1,346,1014,141.08,0,0,0,86.01,13.600000000000001
2017,1,2,2,15,15.8,1,346,1015,137.66,0,0,0,86.65,13.600000000000001
2017,1,2,2,30,15.600000000000001,1,345,1015,134.25,0,0,0,87.76,13.600000000000001
2017,1,2,2,45,15.4,1,345,1015,130.85,0,0,0,88.91,13.600000000000001
2017,1,2,3,0,15.200000000000001,1,345,1015,127.46000000000001,0,0,0,90.06,13.600000000000001
2017,1,2,3,15,15.100000000000001,1,346,1015,124.08,0,0,0,90.63,13.600000000000001
2017,1,2,3,30,14.9,1,346,1015,120.72,0,0,0,91.81,13.600000000000001
2017,1,2,3,45,14.700000000000001,1.1,347,1015,117.36,0,0,0,93,13.600000000000001
2017,1,2,4,0,14.600000000000001,1.1,347,1015,114.03,0,0,0,93.60000000000001,13.600000000000001
2017,1,2,4,15,14.600000000000001,1.1,347,1015,110.71000000000001,0,0,0,93.60000000000001,13.600000000000001
2017,1,2,4,30,14.600000000000001,1.1,347,1015,107.4,0,0,0,93.60000000000001,13.600000000000001
2017,1,2,4,45,14.600000000000001,1.1,347,1015,104.12,0,0,0,93.60000000000001,13.600000000000001
2017,1,2,5,0,13.9,1.1,351,1016,100.86,0,0,0,97.99000000000001,13.600000000000001
2017,1,2,5,15,14.200000000000001,1.1,352,1016,97.63,0,0,0,96.11,13.600000000000001
2017,1,2,5,30,14.4,1.1,353,1016,94.43,0,0,0,94.88,13.600000000000001
